championId,name,tags,damage_type,is_tank,is_mage,is_marksman,is_fighter,is_assassin,is_support,frontline,engage,enchanter,poke,hard_cc
35,Shaco,Assassin,AD,0,0,0,0,1,0,0,0,0,0,0
36,Dr. Mundo,Tank|Fighter,AP,1,0,0,1,0,0,1,0,0,0,0
37,Sona,Support|Mage,AP,0,1,0,0,0,1,0,0,1,0,0
38,Kassadin,Assassin|Mage,AP,0,1,0,0,1,0,0,0,0,0,0
39,Irelia,Fighter|Assassin,AD,0,0,0,1,1,0,1,0,0,0,0
40,Janna,Support|Mage,AP,0,1,0,0,0,1,0,0,1,0,0
41,Gangplank,Fighter,AD,0,0,0,1,0,0,1,0,0,0,0
42,Corki,Marksman|Mage,AD,0,1,1,0,0,0,0,0,0,1,0
43,Karma,Mage|Support,AP,0,1,0,0,0,1,0,0,1,0,0
44,Taric,Support|Tank,AP,1,0,0,0,0,1,1,0,1,0,1
45,Veigar,Mage,AP,0,1,0,0,0,0,0,0,0,0,1
48,Trundle,Fighter|Tank,AD,1,0,0,1,0,0,1,0,0,0,0
50,Swain,Mage|Support,AP,0,1,0,0,0,1,0,0,0,0,0
51,Caitlyn,Marksman,AD,0,0,1,0,0,0,0,0,0,1,0
53,Blitzcrank,Tank|Support,AP,1,0,0,0,0,1,1,0,0,0,1
54,Malphite,Tank|Mage,AP,1,1,0,0,0,0,1,1,0,0,1
55,Katarina,Assassin|Mage,AP,0,1,0,0,1,0,0,0,0,0,0
56,Nocturne,Fighter|Assassin,AD,0,0,0,1,1,0,1,1,0,0,0
57,Maokai,Tank|Support,AP,1,0,0,0,0,1,1,1,0,0,1
58,Renekton,Fighter|Tank,AD,1,0,0,1,0,0,1,0,0,0,0
59,Jarvan IV,Fighter|Tank,AD,1,0,0,1,0,0,1,1,0,0,1
60,Elise,Assassin|Mage,AP,0,1,0,0,1,0,0,0,0,0,0
61,Orianna,Mage|Support,AP,0,1,0,0,0,1,0,0,0,0,0
62,Wukong,Fighter|Tank,AD,1,0,0,1,0,0,1,1,0,0,1
63,Brand,Mage|Support,AP,0,1,0,0,0,1,0,0,0,0,0
64,Lee Sin,Fighter|Assassin,AD,0,0,0,1,1,0,1,0,0,0,0
67,Vayne,Marksman|Assassin,AD,0,0,1,0,1,0,0,0,0,0,0
68,Rumble,Fighter|Mage,AP,0,1,0,1,0,0,1,0,0,0,0
69,Cassiopeia,Mage,AP,0,1,0,0,0,0,0,0,0,0,0
72,Skarner,Tank|Fighter,AD,1,0,0,1,0,0,1,1,0,0,1
74,Heimerdinger,Mage|Support,AP,0,1,0,0,0,1,0,0,0,0,0
75,Nasus,Fighter|Tank,AD,1,0,0,1,0,0,1,0,0,0,0
76,Nidalee,Assassin|Mage,AP,0,1,0,0,1,0,0,0,0,1,0
77,Udyr,Fighter|Tank,AD,1,0,0,1,0,0,1,0,0,0,0
78,Poppy,Tank|Fighter,AD,1,0,0,1,0,0,1,0,0,0,1
79,Gragas,Fighter|Mage,AP,0,1,0,1,0,0,1,1,0,0,0
80,Pantheon,Fighter|Assassin,AD,0,0,0,1,1,0,1,0,0,0,0
81,Ezreal,Marksman|Mage,AD,0,1,1,0,0,0,0,0,0,1,0
82,Mordekaiser,Fighter|Mage,AP,0,1,0,1,0,0,1,0,0,0,0
83,Yorick,Fighter|Tank,AD,1,0,0,1,0,0,1,0,0,0,0
84,Akali,Assassin,AP,0,0,0,0,1,0,0,0,0,0,0
85,Kennen,Mage,AP,0,1,0,0,0,0,0,1,0,0,0
86,Garen,Fighter|Tank,AD,1,0,0,1,0,0,1,0,0,0,0
89,Leona,Tank|Support,AD,1,0,0,0,0,1,1,1,0,0,1
90,Malzahar,Mage,AP,0,1,0,0,0,0,0,0,0,0,0
91,Talon,Assassin,AD,0,0,0,0,1,0,0,0,0,0,0
92,Riven,Fighter|Assassin,AD,0,0,0,1,1,0,1,0,0,0,0
96,Kog'Maw,Marksman|Mage,AD,0,1,1,0,0,0,0,0,0,0,0
98,Shen,Tank,mixed,1,0,0,0,0,0,1,0,0,0,0
99,Lux,Mage|Support,AP,0,1,0,0,0,1,0,0,0,1,0
101,Xerath,Mage|Support,AP,0,1,0,0,0,1,0,0,0,1,0
102,Shyvana,Fighter|Tank,AD,1,0,0,1,0,0,1,0,0,0,0
103,Ahri,Mage|Assassin,AP,0,1,0,0,1,0,0,0,0,0,0
104,Graves,Marksman,AD,0,0,1,0,0,0,0,0,0,0,0
105,Fizz,Assassin|Fighter,AP,0,0,0,1,1,0,1,0,0,0,0
106,Volibear,Fighter|Tank,AD,1,0,0,1,0,0,1,0,0,0,0
107,Rengar,Assassin|Fighter,AD,0,0,0,1,1,0,1,0,0,0,0
110,Varus,Marksman|Mage,AD,0,1,1,0,0,0,0,0,0,1,0
111,Nautilus,Tank|Support,AP,1,0,0,0,0,1,1,1,0,0,1
112,Viktor,Mage,AP,0,1,0,0,0,0,0,0,0,0,0
113,Sejuani,Tank,AP,1,0,0,0,0,0,1,1,0,0,1
114,Fiora,Fighter|Assassin,AD,0,0,0,1,1,0,1,0,0,0,0
115,Ziggs,Mage,AP,0,1,0,0,0,0,0,0,0,1,0
117,Lulu,Support|Mage,AP,0,1,0,0,0,1,0,0,1,0,0
119,Draven,Marksman,AD,0,0,1,0,0,0,0,0,0,0,0
120,Hecarim,Fighter|Tank,AD,1,0,0,1,0,0,1,1,0,0,0
121,Kha'Zix,Assassin,AD,0,0,0,0,1,0,0,0,0,0,0
122,Darius,Fighter|Tank,AD,1,0,0,1,0,0,1,0,0,0,0
126,Jayce,Fighter|Marksman,AD,0,0,1,1,0,0,1,0,0,1,0
127,Lissandra,Mage,AP,0,1,0,0,0,0,0,0,0,0,1
131,Diana,Fighter|Assassin,AP,0,0,0,1,1,0,1,1,0,0,0
133,Quinn,Marksman|Assassin,AD,0,0,1,0,1,0,0,0,0,0,0
134,Syndra,Mage,AP,0,1,0,0,0,0,0,0,0,0,0
136,Aurelion Sol,Mage,AP,0,1,0,0,0,0,0,0,0,0,0
141,Kayn,Fighter|Assassin,AD,0,0,0,1,1,0,1,0,0,0,0
142,Zoe,Mage,AP,0,1,0,0,0,0,0,0,0,1,0
143,Zyra,Mage|Support,AP,0,1,0,0,0,1,0,0,0,0,0
145,Kai'Sa,Marksman|Mage,AD,0,1,1,0,0,0,0,0,0,0,0
147,Seraphine,Support|Mage,AP,0,1,0,0,0,1,0,0,1,0,0
150,Gnar,Fighter|Tank,AD,1,0,0,1,0,0,1,0,0,0,1
154,Zac,Tank|Fighter,AP,1,0,0,1,0,0,1,1,0,0,1
157,Yasuo,Fighter|Assassin,AD,0,0,0,1,1,0,1,0,0,0,0
161,Vel'Koz,Mage|Support,AP,0,1,0,0,0,1,0,0,0,1,0
163,Taliyah,Mage|Support,AP,0,1,0,0,0,1,0,0,0,0,0
164,Camille,Fighter|Assassin,AD,0,0,0,1,1,0,1,0,0,0,0
166,Akshan,Marksman|Assassin,AD,0,0,1,0,1,0,0,0,0,0,0
200,Bel'Veth,Fighter,AP,0,0,0,1,0,0,1,0,0,0,0
201,Braum,Tank|Support,AP,1,0,0,0,0,1,1,0,0,0,1
202,Jhin,Marksman|Mage,AD,0,1,1,0,0,0,0,0,0,0,0
203,Kindred,Marksman,AD,0,0,1,0,0,0,0,0,0,0,0
221,Zeri,Marksman,AD,0,0,1,0,0,0,0,0,0,0,0
222,Jinx,Marksman,AD,0,0,1,0,0,0,0,0,0,0,0
223,Tahm Kench,Tank|Support,AP,1,0,0,0,0,1,1,0,0,0,0
233,Briar,Fighter|Assassin,AD,0,0,0,1,1,0,1,0,0,0,0
234,Viego,Fighter|Assassin,AD,0,0,0,1,1,0,1,0,0,0,0
235,Senna,Support|Marksman,AD,0,0,1,0,0,1,0,0,0,0,0
236,Lucian,Marksman|Assassin,AD,0,0,1,0,1,0,0,0,0,0,0
238,Zed,Assassin,AD,0,0,0,0,1,0,0,0,0,0,0
240,Kled,Fighter,AD,0,0,0,1,0,0,1,0,0,0,0
245,Ekko,Assassin|Mage,AP,0,1,0,0,1,0,0,0,0,0,0
246,Qiyana,Assassin,AP,0,0,0,0,1,0,0,0,0,0,0
254,Vi,Fighter|Assassin,AD,0,0,0,1,1,0,1,1,0,0,1
266,Aatrox,Fighter,AD,0,0,0,1,0,0,1,0,0,0,0
267,Nami,Support|Mage,AP,0,1,0,0,0,1,0,0,1,0,0
268,Azir,Mage|Marksman,AD,0,1,1,0,0,0,0,0,0,0,0
350,Yuumi,Support|Mage,AP,0,1,0,0,0,1,0,0,1,0,0
360,Samira,Marksman|Assassin,AD,0,0,1,0,1,0,0,0,0,0,0
412,Thresh,Support|Tank,AP,1,0,0,0,0,1,1,1,0,0,1
420,Illaoi,Fighter|Tank,AD,1,0,0,1,0,0,1,0,0,0,0
421,Rek'Sai,Fighter|Tank,AD,1,0,0,1,0,0,1,0,0,0,0
427,Ivern,Support|Mage,AP,0,1,0,0,0,1,0,0,1,0,0
429,Kalista,Marksman,AD,0,0,1,0,0,0,0,0,0,0,0
432,Bard,Support|Mage,AP,0,1,0,0,0,1,0,0,0,0,0
497,Rakan,Support,AP,0,0,0,0,0,1,0,1,0,0,1
498,Xayah,Marksman,AD,0,0,1,0,0,0,0,0,0,0,0
516,Ornn,Tank,AD,1,0,0,0,0,0,1,1,0,0,1
517,Sylas,Mage|Assassin,AP,0,1,0,0,1,0,0,0,0,0,0
518,Neeko,Mage|Support,AP,0,1,0,0,0,1,0,0,0,0,0
523,Aphelios,Marksman,AD,0,0,1,0,0,0,0,0,0,0,0
526,Rell,Tank|Support,mixed,1,0,0,0,0,1,1,1,0,0,1
555,Pyke,Support|Assassin,AD,0,0,0,0,1,1,0,0,0,0,0
711,Vex,Mage,AP,0,1,0,0,0,0,0,0,0,0,0
777,Yone,Fighter|Assassin,AD,0,0,0,1,1,0,1,0,0,0,0
799,Ambessa,Fighter|Assassin,AD,0,0,0,1,1,0,1,0,0,0,0
800,Mel,Mage|Support,AP,0,1,0,0,0,1,0,0,0,0,0
804,Yunara,Marksman,AD,0,0,1,0,0,0,0,0,0,0,0
805,Locke,Assassin|Mage,AP,0,1,0,0,1,0,0,0,0,0,0
875,Sett,Fighter|Tank,AD,1,0,0,1,0,0,1,0,0,0,0
876,Lillia,Fighter|Mage,AP,0,1,0,1,0,0,1,0,0,0,0
887,Gwen,Fighter,AD,0,0,0,1,0,0,1,0,0,0,0
888,Renata Glasc,Support|Mage,AP,0,1,0,0,0,1,0,0,1,0,0
893,Aurora,Mage|Assassin,AP,0,1,0,0,1,0,0,0,0,0,0
895,Nilah,Fighter|Assassin,AD,0,0,0,1,1,0,1,0,0,0,0
897,K'Sante,Tank|Fighter,AD,1,0,0,1,0,0,1,0,0,0,0
901,Smolder,Marksman|Mage,AD,0,1,1,0,0,0,0,0,0,0,0
902,Milio,Support|Mage,AP,0,1,0,0,0,1,0,0,1,0,0
904,Zaahen,Fighter|Assassin,AD,0,0,0,1,1,0,1,0,0,0,0
910,Hwei,Mage|Support,AP,0,1,0,0,0,1,0,0,0,0,0
950,Naafiri,Assassin|Fighter,AD,0,0,0,1,1,0,1,0,0,0,0
